"sequence","Network_annotation","EggNOG_annotation"
"isogroup10644","isogroup10644|darkgreen kME=0.45|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"isogroup10645","isogroup10645|darkorange kME=0.48|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","basic transcription factor 3-like 4"
"isogroup10648","isogroup10648|green kME=0.33|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Astacin (Peptidase family M12A)"
"isogroup10649","isogroup10649|darkmagenta kME=0.49|Associations:(R2=-0.32) max speed in response to acoustic stimulus.",NA
"isogroup10652","isogroup10652|green kME=0.46|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup10655","isogroup10655|red kME=0.39|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","Tryp_SPc"
"isogroup10658","isogroup10658|green kME=0.43|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup1066","isogroup1066|lightcyan1 kME=0.51|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.",NA
"isogroup10665","isogroup10665|skyblue kME=0.43|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup10678","isogroup10678|darkgrey kME=0.39|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10680","isogroup10680|plum1 kME=0.77|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.","otoraplin"
"isogroup10683","isogroup10683|darkgrey kME=0.38|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.","Coatomer protein complex, subunit zeta 1"
"isogroup10684","isogroup10684|cyan kME=0.43|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","Putative phosphatase regulatory subunit"
"isogroup10685","isogroup10685|midnightblue kME=0.37|Associations:(R2=+0.42) mean meandering in response to visual stimulus; (R2=-0.32) time between assay and RNA collection.",NA
"isogroup10686","isogroup10686|greenyellow kME=0.81|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup10692","isogroup10692|darkorange kME=0.43|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup10699","isogroup10699|greenyellow kME=0.63|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","troponin T type 3 (skeletal, fast)"
"isogroup10700","isogroup10700|blue kME=0.59|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup10703","isogroup10703|darkred kME=0.42|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10714","isogroup10714|plum1 kME=0.42|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.",NA
"isogroup10715","isogroup10715|lightcyan1 kME=0.56|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.","renalase, FAD-dependent amine oxidase"
"isogroup10718","isogroup10718|blue kME=0.77|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","Lipocalin / cytosolic fatty-acid binding protein family"
"isogroup10720","isogroup10720|greenyellow kME=0.31|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Nexilin (F actin binding protein)"
"isogroup10732","isogroup10732|blue kME=0.34|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup10734","isogroup10734|greenyellow kME=0.57|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","xin actin-binding repeat containing"
"isogroup10737","isogroup10737|brown kME=0.31|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","sodium channel and clathrin linker 1"
"isogroup10740","isogroup10740|red kME=0.37|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"isogroup10744","isogroup10744|saddlebrown kME=0.59|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.","Eukaryotic translation initiation factor 5"
"isogroup10750","isogroup10750|darkorange kME=0.61|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","This is a component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain. This protein may mediate formation of the complex between cytochromes c and c1 (By similarity)"
"isogroup10752","isogroup10752|blue kME=0.55|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","phosphoglycerate mutase 2 (muscle)"
"isogroup10758","isogroup10758|darkred kME=0.49|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10764","isogroup10764|darkorange kME=0.28|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup10775","isogroup10775|darkorange kME=0.34|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","ATP synthase, H transporting, mitochondrial Fo complex, subunit E"
"isogroup10782","isogroup10782|brown kME=0.42|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","C1q domain"
"isogroup10783","isogroup10783|green kME=0.87|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","ribosomal protein L34"
"isogroup10792","isogroup10792|blue kME=0.5|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup10794","isogroup10794|darkgreen kME=0.88|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","ubiquinol-cytochrome c reductase complex chaperone"
"isogroup10795","isogroup10795|red kME=0.72|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","annexin A2"
"isogroup10801","isogroup10801|blue kME=0.33|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","phosphoglycerate mutase family member 5"
"isogroup10807","isogroup10807|blue kME=0.34|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","mitochondrial ribosomal protein L11"
"isogroup10810","isogroup10810|skyblue kME=0.3|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup10812","isogroup10812|skyblue kME=0.47|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup10819","isogroup10819|brown kME=0.29|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup10820","isogroup10820|brown kME=0.39|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","XTALbg"
"isogroup10823","isogroup10823|black kME=0.4|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup10826","isogroup10826|lightcyan1 kME=0.65|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.","MAPEG family"
"isogroup10827","isogroup10827|lightcyan1 kME=0.49|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.",NA
"isogroup10828","isogroup10828|brown kME=0.41|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup10833","isogroup10833|red kME=0.68|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","folate receptor 4 (delta) homolog (mouse)"
"isogroup10835","isogroup10835|darkorange kME=0.39|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup10838","isogroup10838|green kME=0.49|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup10840","isogroup10840|black kME=0.37|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup10844","isogroup10844|darkorange kME=0.39|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","transforming growth factor, beta receptor II (70 80kDa)"
"isogroup10846","isogroup10846|darkgrey kME=0.58|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10847","isogroup10847|brown kME=0.4|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","adenosine monophosphate deaminase 3"
"isogroup10850","isogroup10850|cyan kME=0.6|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
"isogroup10851","isogroup10851|darkorange kME=0.59|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","Cytochrome c oxidase polypeptide VIa"
"isogroup10861","isogroup10861|darkorange kME=0.85|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","40S ribosomal protein S27"
"isogroup10864","isogroup10864|darkgreen kME=0.62|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","Cullin 3"
"isogroup10865","isogroup10865|cyan kME=0.66|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","S_TKc"
"isogroup10866","isogroup10866|darkorange kME=0.69|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","mitochondrial nucleoid factor 1"
